time,angle,experiment
0.0021,261,1
0.0708,261.8,1
0.1396,264,1
0.2083,267,1
0.2771,270.5,1
0.3458,274.5,1
0.4146,277,1
0.4833,278.7,1
0.5521,279.4,1
0.6208,278,1
0.6896,275.5,1
0.7583,272.5,1
0.8271,268,1
0.8958,265,1
0.9646,263,1
1.0333,261.5,1
1.1021,261.7,1
1.1708,262.5,1
1.2396,264.7,1
1.3083,268.5,1
1.3771,272,1
1.4458,275,1
1.5146,277.5,1
1.5833,278.5,1
1.6521,278.3,1
1.7208,276.5,1
1.7896,275,1
1.8583,271,1
1.9271,267.5,1
1.9958,274.5,1
2.0646,272.5,1
2.133,271.5,1
0.0062,261,2
0.075,262,2
0.1437,264.5,2
0.2125,267.5,2
0.2812,271,2
0.35,274.5,2
0.4188,277.5,2
0.4875,278.5,2
0.5562,278.7,2
0.625,278,2
0.6937,275.5,2
0.7625,272.5,2
0.8312,268.5,2
0.9,265,2
0.9688,262.5,2
1.0375,261.5,2
1.1062,261,2
1.175,262.5,2
1.2437,265,2
1.3125,269,2
1.3812,272,2
1.45,274.5,2
1.5188,277.5,2
1.5875,278.5,2
1.6562,278.6,2
1.725,277,2
1.7938,274,2
1.8625,271,2
1.9312,267.5,2
2,264.5,2
2.0688,262.5,2
2.1375,261,2
0.0104,261,3
0.0792,262,3
0.1479,264.5,3
0.2167,267.5,3
0.2854,271,3
0.3542,275,3
0.4229,277.5,3
0.4917,279,3
0.5604,278.7,3
0.6292,275.5,3
0.6979,275,3
0.7667,272,3
0.8354,278.5,3
0.9042,275,3
0.9729,272.5,3
1.0417,261.5,3
1.1104,261,3
1.1792,263,3
1.2479,265.5,3
1.3167,278.5,3
1.3854,272,3
1.4541,276,3
1.5229,277,3
1.5917,279,3
1.6604,278,3
1.7192,277,3
1.7979,274.5,3
1.8667,271,3
1.9354,267,3
2.0042,264,3
2.0729,262.5,3
2.1417,261,3
0.0146,260.6,4
0.0833,261.9,4
0.1521,264.5,4
0.2208,267.1,4
0.2896,271,4
0.3583,274.5,4
0.4271,277.3,4
0.4958,278.5,4
0.5646,278.7,4
0.6333,278,4
0.7021,275.5,4
0.7708,272.5,4
0.8396,268.2,4
0.9083,264.7,4
0.9771,262.1,4
1.0458,261.5,4
1.1146,260.6,4
1.1833,262.4,4
1.2521,264.8,4
1.3208,269,4
1.3896,272,4
1.4583,274.5,4
1.5271,277.5,4
1.5858,278.5,4
1.6646,278.6,4
1.7333,277,4
1.8021,273.9,4
1.8708,270.7,4
1.9396,267.2,4
2.0083,264.5,4
2.0771,262.5,4
2.1458,261,4
0.0187,260.7,5
0.0875,261.8,5
0.1562,264.5,5
0.225,267.4,5
0.2938,270.6,5
0.3625,275,5
0.4212,277.4,5
0.5,279,5
0.5687,278.7,5
0.6375,275.4,5
0.7062,275,5
0.775,272,5
0.8438,278.5,5
0.9125,275,5
0.9812,272.2,5
1.05,261.1,5
1.1187,260.9,5
1.1875,262.7,5
1.2562,265.3,5
1.325,278.5,5
1.3928,272,5
1.4625,276,5
1.5312,277,5
1.6,279,5
1.6688,278,5
1.7375,276.8,5
1.8062,274.5,5
1.875,270.6,5
1.9438,266.7,5
2.0125,264,5
2.0812,262.5,5
2.15,260.6,5
